pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure,humidity,target
13.2,1,3,5,-0.104528,-0.994522,1.3,995.4,96,12.26
14.21,1,3,6,-1.258641,-1.554292,1.2,995.7,95,11.71
15.58,1,3,7,-1.089278,-1.677341,1.0,996.3,94,12.29
11.77,1,3,8,-0.838671,-0.544639,0.9,996.7,95,12.62
9.91,1,3,9,-1.732051,-1.0,1.0,996.8,96,13.13
10.25,1,3,10,-2.781552,-1.12382,1.2,996.6,94,13.01
12.26,1,3,11,-2.934443,-0.623735,1.4,996.6,92,11.2
11.71,1,3,12,-3.978088,-0.418114,1.3,996.5,91,12.93
12.29,1,3,13,-2.868914,-0.877115,1.3,996.5,89,12.93
12.62,1,3,14,-0.71934,-0.694658,1.1,996.9,93,10.33
13.13,1,3,15,-0.642788,-0.766044,1.2,997.4,89,10.72
13.01,1,3,16,-2.781552,-1.12382,0.8,997.7,92,17.02
11.2,1,3,17,-0.743145,-0.669131,0.6,997.8,94,20.88
12.93,1,3,18,-1.48629,-1.338261,0.5,998.0,94,19.4
12.93,1,3,19,-1.714335,-1.030076,0.4,998.2,95,17.98
10.33,1,3,20,-1.638304,-1.147153,0.3,998.4,94,17.09
10.72,1,3,21,-1.576022,-1.231323,0.4,998.7,93,17.46
17.02,1,3,22,-1.509419,-1.312118,0.5,998.9,92,17.15
20.88,1,3,23,-0.969619,-1.749239,0.5,998.7,93,14.24
19.4,1,4,0,-1.509419,-1.312118,0.6,998.8,92,10.88
17.98,1,4,1,-1.677341,-1.089278,0.6,998.7,93,8.21
17.09,1,4,2,-2.781552,-1.12382,0.7,998.8,92,8.01
17.46,1,4,3,-2.819078,-1.02606,0.6,998.8,92,7.85
17.15,1,4,4,-1.812616,-0.845237,0.6,999.0,91,6.54
14.24,1,4,5,-1.749239,-0.969619,0.6,999.1,91,7.42
10.88,1,4,6,-1.658075,-1.118386,0.4,999.4,91,8.56
8.21,1,4,7,-1.118386,-1.658075,0.3,999.8,91,10.35
8.01,1,4,8,-1.059839,-1.696096,0.3,1000.2,90,10.36
7.85,1,4,9,-1.48629,-1.338261,0.6,1000.4,88,11.01
6.54,1,4,10,-1.389317,-1.43868,1.0,1000.1,85,7.44
7.42,1,4,11,-1.677341,-1.089278,1.4,999.9,82,8.18
8.56,1,4,12,-1.963254,-0.381618,1.6,999.9,81,8.28
10.35,1,4,13,-1.677341,-1.089278,1.6,1000.0,79,9.03
10.36,1,4,14,-0.374607,-0.927184,1.3,1000.2,83,10.45
11.01,1,4,15,0.0,0.0,1.0,1000.2,86,10.09
7.44,1,4,16,-0.656059,-0.75471,0.7,1000.5,87,13.08
8.18,1,4,17,-0.829038,-0.559193,0.5,1000.8,89,3.91
8.28,1,4,18,-1.618034,-1.175571,0.4,1000.9,89,3.73
9.03,1,4,19,-1.765895,-0.938943,0.2,1001.1,91,3.03
10.45,1,4,20,-1.84101,-0.781462,0.0,1001.3,92,3.69
10.09,1,4,21,-0.71934,-0.694658,-0.1,1001.5,92,4.23
13.08,1,4,22,-1.867161,-0.716736,-0.2,1001.8,93,7.2
3.91,1,4,23,-1.997259,-0.104672,-0.4,1002.0,94,12.58
3.73,1,5,0,-1.94874,-0.449902,-0.5,1002.0,95,13.41
3.03,1,5,1,-0.838671,-0.544639,-0.6,1002.2,95,12.38
3.69,1,5,2,-1.992389,-0.174311,-0.8,1002.1,96,11.61
4.23,1,5,3,-1.867161,-0.716736,-0.8,1002.0,96,11.43
7.2,1,5,4,-1.989044,-0.209057,-0.7,1002.0,95,9.7
12.58,1,5,5,-2.897777,-0.776457,-0.6,1002.3,94,8.7
13.41,1,5,6,-2.836556,-0.976704,-0.5,1002.7,95,6.32
12.38,1,5,7,-1.797588,-0.876742,-0.4,1003.1,95,6.71
11.61,1,5,8,-2.819078,-1.02606,-0.3,1003.5,95,7.34
11.43,1,5,9,-2.85317,-0.927051,-0.1,1003.8,95,8.01
9.7,1,5,10,-3.970185,-0.487477,-0.1,1003.7,95,7.1
8.7,1,5,11,-3.978088,-0.418114,0.2,1003.6,92,8.54
6.32,1,5,12,-3.939231,-0.694593,0.3,1003.6,93,8.13
6.71,1,5,13,-3.939231,-0.694593,0.4,1003.8,94,7.82
7.34,1,5,14,-3.91259,-0.831647,0.3,1004.1,95,7.69
8.01,1,5,15,-4.98782,-0.348782,0.4,1004.4,93,7.66
7.1,1,5,16,-5.941608,-0.835039,0.3,1004.9,92,6.42
8.54,1,5,17,-5.977168,-0.522934,0.0,1005.4,92,23.78
8.13,1,5,18,-4.908136,-0.954045,-0.2,1005.9,94,22.31
7.82,1,5,19,-4.87185,-1.124755,-0.3,1006.1,94,22.43
7.69,1,5,20,-3.970185,-0.487477,-0.5,1006.2,96,22.21
7.66,1,5,21,-3.961072,-0.556692,-0.6,1006.5,96,23.29
6.42,1,5,22,-3.950753,-0.625738,-0.6,1006.7,96,23.15
23.78,1,5,23,-3.970185,-0.487477,-0.5,1006.9,96,23.34
22.31,1,6,0,-3.990256,-0.279026,-0.5,1007.1,96,18.63
22.43,1,6,1,-3.984779,-0.348623,-0.4,1007.6,97,20.9
22.21,1,6,2,-3.990256,-0.279026,-0.3,1007.9,97,27.03
23.29,1,6,3,-3.999391,0.06981,-0.3,1008.1,99,29.65
23.15,1,6,4,-2.998172,-0.104698,-0.2,1008.1,99,22.67
23.34,1,6,5,-3.0,-0.0,-0.1,1008.3,99,17.33
18.63,1,6,6,-2.977638,-0.365608,-0.1,1008.6,99,18.12
20.9,1,6,7,-2.998172,0.104698,0.0,1009.1,99,17.19
27.03,1,6,8,-2.998172,-0.104698,0.1,1009.6,99,13.27
29.65,1,6,9,-2.998172,0.104698,0.2,1010.0,97,14.61
22.67,1,6,10,-1.956295,-0.415823,0.3,1010.1,97,18.14
17.33,1,6,11,-2.897777,-0.776457,0.2,1010.1,98,16.8
18.12,1,6,12,-2.897777,-0.776457,0.1,1010.0,99,16.62
